last_name, first_name, date_of_birth, email
Gehard, Mike, 1987/05/02,
Dean, Jeff, 1920/11/23, jeff@example.com
Durham, Kinsey, 1945/04/01, kinseyann01@example.com
Kahn, Kirsten, 1995/09/30, kkbear@example.com
Searls, Justin, 1981/01/08, searlsj@example.com
Taggart, Jeffrey, 1988/05/20, jeff6565@example.com
Bourque, Lizzie, 1966/11/23, bourquelizzie@example.com
Dieters, Jim, 1933/06/04, jldieters@example.com
Rando, Ryan, 2003/12/25, iloveskiing@example.com
Sanchez, Sarah, 2011/01/08, sarah@example.com
